City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,hadibu,12.65,54.0333,28.09,81,100,9.82,YE,1686621773
254,wonju,37.3514,127.9453,24.89,43,17,2.11,KR,1686621622
255,wynyard,-41.0,145.7167,12.21,92,100,4.75,AU,1686621526
256,dabou,5.3256,-4.3769,24.8,80,58,4.24,CI,1686621773
257,ulaangom,49.9811,92.0667,17.92,36,0,3.14,MN,1686621773
258,madalena,41.2162,-8.3345,18.32,91,99,0.81,PT,1686621774
259,taoudenni,22.6783,-3.9836,33.72,11,59,3.81,ML,1686621774
260,isangel,-19.55,169.2667,25.06,78,100,2.06,VU,1686621774
261,kurchatov,51.6601,35.6521,12.23,82,86,4.66,RU,1686621774
262,severo-yeniseyskiy,60.3725,93.0408,9.34,74,98,2.59,RU,1686621774
263,biloela,-24.4167,150.5,24.48,42,0,2.54,AU,1686621774
264,burang,30.25,81.1667,7.61,72,40,1.1,CN,1686621774
265,alghero,40.5589,8.3181,18.05,100,0,1.03,IT,1686621775
266,nadym,65.5333,72.5167,4.15,58,100,6.56,RU,1686621611
267,chipata,-13.6333,32.65,14.72,70,31,1.96,ZM,1686621775
268,baymak,52.5933,58.3225,9.08,82,100,7.01,RU,1686621775
269,biltine,14.5333,20.9167,27.93,57,61,5.21,TD,1686621775
270,harper,4.375,-7.7169,25.4,77,96,3.84,LR,1686621775
271,woods creek,47.8787,-121.8985,29.04,55,38,2.24,US,1686621775
272,messaad,34.1543,3.5031,22.92,50,38,3.98,DZ,1686621776
273,bima,-8.4667,118.7167,27.98,65,72,2.89,ID,1686621776
274,sovetskaya gavan',48.9723,140.2878,9.79,96,100,1.71,RU,1686621776
275,buckeye,33.3703,-112.5838,32.51,18,0,0.0,US,1686621776
276,ventspils,57.3894,21.5606,4.96,100,0,0.0,LV,1686621776
277,vila franca do campo,37.7167,-25.4333,19.23,98,100,5.08,PT,1686621776
278,kupang,-10.1667,123.5833,29.32,54,20,7.72,ID,1686621776
279,necochea,-38.5473,-58.7368,8.99,73,100,3.52,AR,1686621776
280,mata-utu,-13.2816,-176.1745,28.32,76,97,5.99,WF,1686621777
281,morondava,-20.2833,44.2833,17.76,88,1,3.08,MG,1686621777
282,jayapura,-2.5333,140.7,29.66,96,99,2.66,ID,1686621777
283,urangan,-25.3,152.9,20.56,69,0,1.53,AU,1686621777
284,harriman,35.934,-84.5524,19.28,84,0,0.0,US,1686621777
285,touros,-5.1989,-35.4608,24.18,89,3,4.52,BR,1686621777
286,ciudad constitucion,25.0369,-111.6644,21.94,49,12,7.57,MX,1686621777
287,zakynthos,37.7914,20.8953,19.24,94,40,0.0,GR,1686621777
288,shigony,53.3875,48.6777,10.75,66,100,8.03,RU,1686621778
289,murghob,38.1702,73.9667,9.27,51,5,1.03,TJ,1686621778
290,siwa oasis,29.2041,25.5195,26.29,40,0,6.86,EG,1686621778
291,port-vila,-17.7338,168.3219,23.78,83,100,3.09,VU,1686621778
292,majene,-3.5403,118.9707,28.47,73,15,3.31,ID,1686621778
293,ciudad lazaro cardenas,17.9583,-102.2,27.46,75,1,3.5,MX,1686621778
294,salahonda,2.1019,-78.7217,27.18,82,96,1.88,CO,1686621778
295,aasiaat,68.7098,-52.8699,-0.82,84,42,4.31,GL,1686621778
296,concepcion del oro,24.6333,-101.4167,28.11,16,85,4.29,MX,1686621779
297,atherton,53.5237,-2.4935,18.08,94,100,2.6,GB,1686621779
298,bikenibeu village,1.3673,173.1241,30.98,74,40,2.06,KI,1686621779
299,maryborough,-25.5333,152.7,24.55,46,0,1.48,AU,1686621779
300,guiping,23.3925,110.0814,29.58,77,79,1.84,CN,1686621779
301,melfi,40.9965,15.6514,13.61,83,4,1.86,IT,1686621779
302,narrabri,-30.3167,149.7833,18.47,60,67,5.71,AU,1686621780
303,geraldton,-28.7667,114.6,14.23,72,0,5.14,AU,1686621780
304,eldoret,0.5204,35.2699,12.25,88,50,0.92,KE,1686621780
305,puerto baquerizo moreno,-0.9,-89.6,25.96,82,24,5.33,EC,1686621780
306,kosterevo,55.9299,39.6144,7.3,82,0,2.39,RU,1686621780
307,nar'yan-mar,67.6713,53.087,8.34,69,72,3.86,RU,1686621780
308,nizhniy odes,63.6445,54.856,12.31,80,100,3.49,RU,1686621780
309,tezu,27.9167,96.1667,27.71,78,78,0.82,IN,1686621781
310,iwade,34.25,135.3167,28.05,72,100,1.9,JP,1686621781
311,obock,12.25,43.0833,29.16,30,99,10.65,DJ,1686621781
312,dera ghazi khan,30.0561,70.6348,37.16,30,0,7.0,PK,1686621781
313,chatillon-sur-seine,47.8585,4.5738,12.7,68,8,2.63,FR,1686621781
314,anadyr,64.75,177.4833,17.28,48,0,4.0,RU,1686621677
315,kristiansund,63.1115,7.732,14.03,71,75,2.06,NO,1686621781
316,white hall,34.274,-92.091,22.62,82,0,2.06,US,1686621781
317,zaozersk,69.4005,32.4476,9.7,64,98,6.88,RU,1686621782
318,san carlos,9.6612,-68.5827,23.53,95,91,1.13,VE,1686621782
319,markaz-e hukumat-e darweshan,31.1323,64.1934,27.32,15,0,3.05,AF,1686621782
320,okhotsk,59.3833,143.3,8.5,85,87,5.35,RU,1686621782
321,vorkuta,67.5,64.0,7.23,57,100,5.03,RU,1686621782
322,tisul',55.7611,88.3122,11.57,78,100,2.5,RU,1686621782
323,port douglas,-16.4833,145.4667,24.36,73,34,2.96,AU,1686621783
324,riverside,33.7333,-116.0508,25.15,37,0,8.75,US,1686621626
325,pirallahi,40.4723,50.333,24.08,77,0,1.86,AZ,1686621783
326,mount pearl,47.5166,-52.7813,7.2,96,100,6.17,CA,1686621783
327,ambon,-3.6954,128.1814,28.08,81,40,2.57,ID,1686621783
328,tambopata,-12.7333,-69.1833,17.75,99,100,2.78,PE,1686621783
329,avarua,-21.2078,-159.775,26.03,78,100,6.69,CK,1686621783
330,yanam,16.7333,82.2167,34.41,47,100,3.6,IN,1686621783
331,inhambane,-23.865,35.3833,19.48,89,51,3.09,MZ,1686621784
332,puerto francisco de orellana,-0.4667,-76.9667,22.95,97,20,0.97,EC,1686621784
333,sault ste. marie,46.5168,-84.3333,10.31,96,100,8.23,CA,1686621251
334,malango,-2.9627,119.9001,25.82,72,65,1.59,ID,1686621784
335,khandyga,62.6667,135.6,11.58,65,100,2.25,RU,1686621784
336,arar,30.9753,41.0381,27.01,22,0,6.17,SA,1686621784
337,willowmore,-33.2926,23.4895,6.43,79,86,5.72,ZA,1686621784
338,ancud,-41.8697,-73.8203,7.27,81,57,4.49,CL,1686621611
339,mendefera,14.8872,38.8153,17.16,80,99,0.31,ER,1686621785
340,cannonvale,-20.2833,148.7,22.66,70,13,4.34,AU,1686621785
341,mirnyy,62.5353,113.9611,14.02,30,55,0.89,RU,1686621785
342,remire-montjoly,4.9167,-52.2667,25.02,94,100,1.03,GF,1686621785
343,moab,38.5733,-109.5498,22.56,28,62,7.21,US,1686621613
344,west bay,19.3667,-81.4167,29.04,79,20,3.6,KY,1686621785
345,nguigmi,14.2495,13.1092,30.02,55,0,3.45,NE,1686621785
346,changsu,35.6484,127.5152,24.79,41,100,1.73,KR,1686621785
347,vryburg,-26.9566,24.7284,4.28,81,0,3.37,ZA,1686621786
348,ankazobe,-18.3167,47.1167,11.74,68,0,0.42,MG,1686621786
349,sausset-les-pins,43.3314,5.1043,20.13,83,75,2.06,FR,1686621786
350,pekan,3.4836,103.3996,29.06,77,96,2.34,MY,1686621786
351,ustyuzhna,58.8394,36.4321,9.29,71,7,2.0,RU,1686621786
352,pariaman,-0.619,100.12,27.03,71,53,0.39,ID,1686621786
353,magadan,59.5667,150.8,18.63,85,89,4.47,RU,1686621786
354,merritt island,28.5392,-80.672,29.49,74,40,5.36,US,1686621786
355,pangody,65.85,74.4859,3.91,66,6,7.4,RU,1686621787
356,acarau,-2.8856,-40.12,25.15,85,0,5.16,BR,1686621665
357,hammerfest,70.6634,23.6821,6.25,75,100,6.17,NO,1686621787
358,duobao,30.67,112.6895,24.34,73,99,2.58,CN,1686621787
359,arkhangel'sk,64.5401,40.5433,15.36,54,94,4.76,RU,1686621787
360,horta,38.5333,-28.6333,18.9,97,18,1.79,PT,1686621787
361,borazjan,29.2666,51.2159,34.43,18,0,2.16,IR,1686621788
362,turgenevo,54.8455,46.3297,8.15,82,5,3.34,RU,1686621788
